operation,datastructure,listSize,seed,iteration,runcount,totaltime,avgtime
DE,tree,100,420,64,5,0.5680777,0.11361554
DE,tree,100,420,65,5,0.5654094000000001,0.11308188000000001
DE,tree,100,420,66,5,0.5619209,0.11238417999999999
DE,tree,100,420,67,5,0.5631186,0.11262372000000001
DE,tree,100,420,68,5,0.549476,0.1098952
DE,tree,100,420,69,5,0.5612152,0.11224304
DE,tree,100,420,70,5,0.5560607,0.11121213999999999
DE,tree,100,420,71,5,0.5675199,0.11350397999999999
DE,tree,100,420,72,5,0.5513857,0.11027714
DE,tree,100,420,73,5,0.5636002,0.11272004
DE,tree,100,420,74,5,0.5488902,0.10977804
DE,tree,100,420,75,5,0.5765061,0.11530122000000001
DE,tree,100,420,76,5,0.5740445000000001,0.11480890000000002
DE,tree,100,420,77,5,0.5592749,0.11185498
DE,tree,100,420,78,5,0.5621976,0.11243951999999999
DE,tree,100,420,79,5,0.5593433,0.11186866
DE,tree,100,420,80,5,0.5431531,0.10863062000000001
DE,tree,100,420,81,5,0.5634624,0.11269248000000001
DE,tree,100,420,82,5,0.5523505,0.11047009999999999
DE,tree,100,420,83,5,0.5958745,0.1191749
DE,tree,100,420,84,5,0.5610565,0.11221129999999999
DE,tree,100,420,85,5,0.5728559000000001,0.11457118000000002
DE,tree,100,420,86,5,0.546063,0.10921259999999999
DE,tree,100,420,87,5,0.5538968999999999,0.11077937999999998
DE,tree,100,420,88,5,0.5722948999999999,0.11445897999999999
DE,tree,100,420,89,5,0.5530399,0.11060798000000001
DE,tree,100,420,90,5,0.5666382999999999,0.11332765999999998
DE,tree,100,420,91,5,0.596775,0.11935500000000002
DE,tree,100,420,92,5,0.5705377,0.11410754000000001
DE,tree,100,420,93,5,0.5717403,0.11434806
DE,tree,100,420,94,5,0.5791425,0.1158285
DE,tree,100,420,95,5,0.5457515,0.10915029999999999
DE,tree,100,420,96,5,0.5562699,0.11125398
DE,tree,100,420,97,5,0.5580717,0.11161433999999999
DE,tree,100,420,98,5,0.5463509,0.10927018
DE,tree,100,420,99,5,0.5683718,0.11367436
EN,array,10,123,0,5,0.49429999999999996,0.09885999999999999
EN,array,10,123,1,5,0.5872176,0.11744352
EN,array,10,123,2,5,0.4808357,0.09616714
EN,array,10,123,3,5,0.48172740000000003,0.09634548000000001
EN,array,10,123,4,5,0.5017336,0.10034672
EN,array,10,123,5,5,0.5132816,0.10265632
EN,array,10,123,6,5,0.5091289,0.10182578
EN,array,10,123,7,5,0.5018486,0.10036972
EN,array,10,123,8,5,0.5243107,0.10486214
EN,array,10,123,9,5,0.4902713,0.09805426
EN,array,10,123,10,5,0.506737,0.1013474
EN,array,10,123,11,5,0.494212,0.0988424
EN,array,10,123,12,5,0.4887007,0.09774014
EN,array,10,123,13,5,0.5166825,0.10333650000000001
EN,array,10,123,14,5,0.49953339999999996,0.09990668
EN,array,10,123,15,5,0.5130144,0.10260288
EN,array,10,123,16,5,0.5096005,0.1019201
EN,array,10,123,17,5,0.5185493,0.10370986
EN,array,10,123,18,5,0.5107636,0.10215272
EN,array,10,123,19,5,0.5097487,0.10194974000000001
EN,array,10,123,20,5,0.5208627,0.10417254000000001
EN,array,10,123,21,5,0.4941724,0.09883448
EN,array,10,123,22,5,0.480369,0.0960738
EN,array,10,123,23,5,0.48050289999999996,0.09610057999999999
EN,array,10,123,24,5,0.4981715,0.0996343
EN,array,10,123,25,5,0.49849040000000006,0.09969808000000001
EN,array,10,123,26,5,0.4928142,0.09856284
EN,array,10,123,27,5,0.4858891,0.09717782
EN,array,10,123,28,5,0.47530130000000004,0.09506026000000001
EN,array,10,123,29,5,0.48171739999999996,0.09634348
EN,array,10,123,30,5,0.47955369999999997,0.09591074
EN,array,10,123,31,5,0.48615880000000006,0.09723176000000001
EN,array,10,123,32,5,0.48713229999999996,0.09742645999999999
EN,array,10,123,33,5,0.4924228,0.09848456
EN,array,10,123,34,5,0.4915904,0.09831808
EN,array,10,123,35,5,0.4862828,0.09725656
EN,array,10,123,36,5,0.49685959999999996,0.09937191999999999
EN,array,10,123,37,5,0.5429124,0.10858248
EN,array,10,123,38,5,0.4864776,0.09729552
EN,array,10,123,39,5,0.48902229999999997,0.09780446
EN,array,10,123,40,5,0.4965121,0.09930242
EN,array,10,123,41,5,0.48558739999999995,0.09711747999999999
EN,array,10,123,42,5,0.4898169,0.09796338
EN,array,10,123,43,5,0.4877015,0.0975403
EN,array,10,123,44,5,0.5081378,0.10162755999999999
EN,array,10,123,45,5,0.4989129,0.09978258
EN,array,10,123,46,5,0.48956269999999996,0.09791253999999999
EN,array,10,123,47,5,0.5088476,0.10176951999999999
EN,array,10,123,48,5,0.4992965,0.0998593
EN,array,10,123,49,5,0.5028384,0.10056768
EN,array,10,123,50,5,0.4924181,0.09848362000000001
EN,array,10,123,51,5,0.5057323,0.10114646000000001
EN,array,10,123,52,5,0.504926,0.1009852
EN,array,10,123,53,5,0.4824696,0.09649392
EN,array,10,123,54,5,0.5030186,0.10060372
EN,array,10,123,55,5,0.4929306,0.09858612
EN,array,10,123,56,5,0.5068607,0.10137214000000001
EN,array,10,123,57,5,0.5010577,0.10021154000000002
EN,array,10,123,58,5,0.5023662,0.10047323999999999
EN,array,10,123,59,5,0.48130209999999995,0.09626041999999999
EN,array,10,123,60,5,0.49234229999999995,0.09846846
EN,array,10,123,61,5,0.49047419999999997,0.09809483999999999
EN,array,10,123,62,5,0.5173532,0.10347063999999999
EN,array,10,123,63,5,0.4831371,0.09662741999999999
EN,array,10,123,64,5,0.49993470000000007,0.09998694000000001
EN,array,10,123,65,5,0.5189907,0.10379814000000001
EN,array,10,123,66,5,0.5136400000000001,0.10272800000000001
EN,array,10,123,67,5,0.5113702,0.10227404
EN,array,10,123,68,5,0.5191843,0.10383686
EN,array,10,123,69,5,0.5170619,0.10341238
EN,array,10,123,70,5,0.5149236,0.10298472
EN,array,10,123,71,5,0.5259382,0.10518764
EN,array,10,123,72,5,0.5304361999999999,0.10608723999999999
